已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [284] rag_query            | 纸质发票丢了，用电子行程单在通义报销后台上传后，还需要打印出来走线下签...
  ✓ [285] escalate             | 钉钉文档里存着我们项目组半年的核心代码，今天突然打不开还提示数据损坏，...
  ✓ [286] rag_query            | 北上广深的住宿差旅标准具体金额是多少？
  ✓ [287] escalate             | 紧急！外网环境下完全连不上公司VPN，无法参加跨地域线上评审会。
  ✓ [288] rag_query            | 上个月底攒的8小时调休额度，这周五能一次性提休完吗？
  ✓ [289] rag_query            | 跨城联合办公期间考勤是按打卡地计算还是按编制城市计算，如果遇到网络故障...
  ✓ [290] rag_query            | 员工内购的阿里云服务器实例到期后不续费，数据会保留多久，到期前会提前多...
  ✓ [291] rag_query            | 我计划12月15日从北京飞往深圳参加客户交流会，根据最新的差旅管理办法...
  ✓ [292] rag_query            | 订错酒店了，内部商旅平台协议价超标了50块，财务说超标部分一律不报，真...
  ✓ [293] rag_query            | 明天就要去广州开会了，现在酒店还没订，一线城市单人住宿标准到底是多少？...
  ✓ [294] escalate             | 我的管理后台权限已到期，需要申请续期以继续审批部门流程。
  ✓ [295] multi_intent_split   | 钉钉群消息免打扰咋关另外季度绩效考核表在哪下载来着？
  ✓ [296] rag_query            | 这周连着上了六个全天班，周末的补休该怎么在系统里抵扣？
  ✓ [297] rag_query            | 法定节假日安排调休是否仍然适用三倍薪资补偿的政策条款？
  ✓ [298] rag_query            | 差旅报销限额
  ✓ [299] rag_query            | 今早电梯故障晚到了二十分钟，考勤异常记录怎么在系统里发起申诉？
  ✓ [300] escalate             | 我的钉钉账号无法登录管理后台，提示角色受限，请帮忙核查权限分配。
  ✓ [301] multi_intent_split   | 实习生转正的考核标准里“价值观”占比到底怎么量化，别又是玄学打分吧？还...
  ✓ [302] rag_query            | 加班餐补怎么算
  ✓ [303] direct_answer        | 钉钉审批撤回
  ✓ [304] rag_query            | 如何为外部供应商开通临时访客的会议室预约权限及Wi-Fi访问许可？
  ✓ [305] rag_query            | 明天去苏州出差支持项目，外勤打卡必须附带带时间水印的现场照片吗？
  ✓ [306] direct_answer        | 我的星辰系统账号被安全策略锁定，请紧急协助重置密码并恢复登录！
  ✓ [307] rag_query            | 请问新员工如何快速开通内部办公系统的日常使用权限？
  ✓ [308] rag_query            | 5000元以上的客户招待费报销需要总经理最终审批吗？
  ✓ [309] direct_answer        | 通义万相生图一直报错是网络问题还是额度没了？
  ✓ [310] escalate             | 我垫付的三万块客户招待费凭什么被财务打回来，明明所有水单和夸克网盘里的...
  ✓ [311] direct_answer        | 请假流程走钉钉还是走内部OA呀？
  ✓ [312] escalate             | 我是华东销售大区经理孙伟，本月工资条显示提成比例与钉钉绩效看板中Q3达...
  ✓ [313] multi_intent_split   | 公司配发的办公笔记本键盘失灵了，保修期过了能走内部IT绿色通道换新吗？...
  ✓ [314] rag_query            | 请问跨自然年度的未休年假额度是否可以顺延至下一年第一季度末？
  ✓ [315] multi_intent_split   | 加班餐补咋算的周末调休能跟年假一起连休不？
  ✓ [316] rag_query            | 4月5号到7号请病假两天，系统里提示需要补充三甲医院病历对吗？
  ✓ [317] rag_query            | 本周六全天加班的申请单提交后，大概多久能收到审批通过的通知？
  ✓ [318] direct_answer        | 新工牌已经寄到杭州园区，具体是去一楼大堂的智能终端激活吗？
  ✓ [319] rag_query            | 去苏州拜访客户当天往返，没发生住宿费用，这种情况还能申请全额的市内交通...
  ✓ [320] multi_intent_split   | 钉钉打卡定位老飘帮忙重置下权限呗顺便查查年假还剩几天？
  ✓ [321] direct_answer        | 达摩院新入驻团队的临时工位集中在哪几个楼层？
  ✓ [322] escalate             | 内部服务异常
  ✓ [323] multi_intent_split   | 我小孩刚满一岁想申请十天的育儿假，请问休假期间是按基本工资发还是全额发...
  ✓ [324] multi_intent_split   | 我想请下周五上午的事假去市医院复查，顺便问下我这个月在钉钉上因为网络原...
  ✓ [325] rag_query            | 新人报到第一天要带哪些实体材料去HRBP那边盖章建档？
  ✓ [326] rag_query            | 我9月20号的出差票据10月31号才拿到，现在提交财务共享中心会不会因...
  ✓ [327] rag_query            | 工牌挂失重办
  ✓ [328] direct_answer        | 新人礼包还没发找谁领？
  ✓ [329] multi_intent_split   | 我们小组计划下周五去安吉竹海搞团建，每人一千八百元的预算能不能覆盖大巴...
  ✓ [330] rag_query            | 昨天周末请合作方吃饭垫了八百多，这钱怎么走账能最快到账？
  ✓ [331] escalate             | 紧急求助，系统显示我本周连续三天缺勤但我全程在岗且参与了华东区线上会议...
  ✓ [332] rag_query            | 关于跨城市交通费用的报销，高铁一等座是否在合规标准范围内？
  ✓ [333] rag_query            | 依据信息安全管理办法，申请跨境访问测试环境的权限需要提交哪些审批附件？
  ✓ [334] rag_query            | 打车票丢了怎么报销？
  ✓ [335] escalate             | 我调岗到海外事业部已经两周了，钉钉通讯录里的部门归属和系统访问权限一直...
  ✓ [336] multi_intent_split   | 今年公司的年度员工体检我想约在十月二十五号上午，在钉钉健康服务里能直接...
  ✓ [337] multi_intent_split   | 申请阿里云控制台的高级权限怎么要等一周，难道不能搞个绿色通道吗？同时请...
  ✓ [338] rag_query            | 这周在西安连续出差5天，每天的餐饮和交通补贴到底是150还是200？发...
  ✓ [339] multi_intent_split   | 我想申请开通核心数据库的读取权限，同时请问这个权限的有效期一般是半年还...
  ✓ [340] rag_query            | 听说座位是按部门统一分配的，我5月6号入职能申请靠近过道的工位吗？
  ✓ [341] rag_query            | 年假折算工资
  ✓ [342] direct_answer        | 公司西溪园区一期B栋的准确邮寄地址怎么写？
  ✓ [343] direct_answer        | 研发三部的访客WiFi连接密码是多少？
  ✓ [344] escalate             | 报销单卡在审批流好几天了赶紧帮我催催财务挺急的。
  ✓ [345] rag_query            | 根据今年修订的员工手册，周末去武汉参加行业峰会算正常出差还是加班？出差...
  ✓ [346] multi_intent_split   | 连续工龄满十年年假多两天，这算法是按司龄算还是总工龄算，系统怎么老报错...
  ✓ [347] escalate             | 紧急！星辰系统数据库查询页面严重卡顿，影响今日运营报表拉取！
  ✓ [348] rag_query            | 高铁一等座和二等座的报销标准怎么划分？
  ✓ [349] rag_query            | 考勤那块儿老迟到扣钱咋申诉啊急死我了！
  ✓ [350] rag_query            | 携带重要展品坐火车，超标行李托运费用能不能凭据实报实销？
  ✓ [351] multi_intent_split   | 我们组上季度负责的夸克浏览器首页改版项目奖金什么时候能到账，另外我年初...
  ✓ [352] rag_query            | 邮箱客户端同步速度极慢且频繁断连，能否指导我重新进行服务配置？
  ✓ [353] rag_query            | 4月28日入职的话，身份证和最高学历证明这些材料需要带原件还是扫描件呀...
  ✓ [354] rag_query            | 上个月交的发票到现在还没动静，系统显示“财务复核中”，这都超过15天了...
  ✓ [355] rag_query            | 请问新员工入职当天需要携带哪些纸质材料。
  ✓ [356] multi_intent_split   | 下周四要开跨部门对齐会，但预定A305时发现空调报修还没结束，能不能临...
  ✓ [357] rag_query            | 关于员工信息安全保密协议的最新修订条款，能否提供一份可下载的PDF版本...
  ✓ [358] multi_intent_split   | 年假未休完自动清零是硬性规定还是可以申请延期，这制度也太不人性化了吧？...
  ✓ [359] multi_intent_split   | 星海项目”结项汇报用的演示环境突然连不上阿里云VPC，重启ECS无效，...
  ✓ [360] rag_query            | 去北京出差能坐高铁一等座吗，还有出差补助是直接合并发在工资卡里还是走对...
  ✓ [361] rag_query            | 我准备坐飞机从上海去厦门，但直飞太贵只能中转，中转产生的额外交通费和不...
  ✓ [362] rag_query            | 6月10号到12号想请三天年假，直接在钉钉审批里提交申请就行吧？
  ✓ [363] rag_query            | 下个月开始实行新差旅标准，但我这周五已经订好了机票，退改签会产生手续费...
  ✓ [364] direct_answer        | 通过钉钉OA能看到我当前剩余的年假天数吗？
  ✓ [365] multi_intent_split   | 这周连续三天晚上九点半才下班赶版本，请问每天的三十元夜间餐补是自动发放...
  ✓ [366] rag_query            | 周五下午临时外勤去展会布展，打卡地点能直接关联到夸克地图里的展馆定位吗...
  ✓ [367] rag_query            | 我们团队下个月去青岛搞技术封闭开发，全员住同一酒店，政策规定二线城市双...
  ✓ [368] rag_query            | 我对上季度钉钉后台显示的绩效评级有点疑问，想申请和直属领导做一次绩效复...
  ✓ [369] escalate             | 紧急报修，财务结算专网突然断连导致夸克云盘同步全部中断，月底关账在即，...
  ✓ [370] escalate             | 因参与集团跨境合规审计项目，风控部林悦申请开通阿里云海外节点服务器的临...
  ✓ [371] rag_query            | 我刚入职申请了每月一千五百元的应届生安居补贴，这笔钱是随工资一起发放还...
  ✓ [372] rag_query            | 上个月10号提交的差旅报销单已经过了直属领导审批，但在财务节点卡了两周...
  ✓ [373] rag_query            | 本月10号提交的共计3200元的团建费用发票，目前审批流卡在财务那边了...
  ✓ [374] rag_query            | 申请开通夸克企业网盘的高级下载权限，需要先找直属主管签字还是直接走线上...
  ✓ [375] multi_intent_split   | 我产假休到下月八号结束准备返岗，宝宝刚满半年能申请每天晚到一小时的弹性...
  ✓ [376] rag_query            | 依据最新员工手册，司龄满三年后年假的计算基数是否包含入职当月？
